specimen.ID,species,caste,investigator,wing,scale,LM,x,y,scale 1,body,notes
,,,,,,6,1310,740.333,,,
JL190809-010,bimac,M,JL,hindwing,142.106,1,1398,326,,,
,,,,,,2,1567,441,,,
,,,,,,3,1553,460,,,
,,,,,,4,1408,447,,,
,,,,,,5,1200,420,,,
,,,,,,6,1153,470,,,
JL190809-011,bimac,M,JL,hindwing,200.043,1,1662,348,,,
,,,,,,2,1906,484,,,
,,,,,,3,1886,521.333,,,
,,,,,,4,1682,521.333,,,
,,,,,,5,1412.667,512,,,
,,,,,,6,1350,580,,,
JL190905-001,imp,M,JL,hindwing,141.004,1,1724,1578,,,
,,,,,,2,1901,1661,,,
,,,,,,3,1886,1686,,,
,,,,,,4,1743,1699,,,
,,,,,,5,1544,1704,,,
,,,,,,6,1508,1760,,,
JL190910-001,imp,W,JL,hindwing,141.356,1,1569,662,,,
,,,,,,2,1730,737,,,
,,,,,,3,1717,757,,,
,,,,,,4,1601,767,,,
,,,,,,5,1411,769,,,
,,,,,,6,1387,813,,,
PF190718-001,vag,W,JL,hindwing,142.504,1,1498.333,413.333,,,
,,,,,,2,1633,494.667,,,
,,,,,,3,1618.333,514,,,
,,,,,,4,1509,511.333,,,
,,,,,,5,1350.333,486.667,,,
,,,,,,6,1327,526.667,,,
PF190724-004,imp,W,JL,hindwing,142.359,1,1668,609,,,
,,,,,,2,1808,683,,,
,,,,,,3,1797,701,,,
,,,,,,4,1698,706,,,
,,,,,,5,1512,703,,,
,,,,,,6,1487,740,,,
PF190724-005,tern,W,JL,hindwing,142.867,1,1535,647,,,
,,,,,,2,1631.667,729.667,,,
,,,,,,3,1621,742.333,,,
,,,,,,4,1525,730.333,,,
,,,,,,5,1393,702.333,,,
,,,,,,6,1368.333,732.333,,,
PF190724-008,bimac,W,JL,hindwing,141.007,1,1408,529,,,
,,,,,,2,1545,620,,,
,,,,,,3,1532,639,,,
,,,,,,4,1415,630,,,
,,,,,,5,1263,611,,,
,,,,,,6,1223,644,,,
RGA190718-001,tern,W,JL,hindwing,141.424,1,1528,715.667,,,
,,,,,,2,1640,788.333,,,
,,,,,,3,1630.667,806.333,,,
,,,,,,4,1538.667,806.333,,,
,,,,,,5,1395.333,790.333,,,
,,,,,,6,1373.333,819.667,,,
TJ190529-001,imp,W,JL,hindwing,142.61,1,1668,537,,,
,,,,,,2,1915,630,,,
,,,,,,3,1894,672,,,
,,,,,,4,1686,699,,,
,,,,,,5,1416,715,,,
,,,,,,6,1378,791,,,
